N	Z	A	El	Mass Excess	Binding Energy	Decay Channel
131	93	224	Np	31876	7604	Bplus
141	84	225	Po	34530	7626	Bminus
140	85	225	At	30395	7641	Bminus
139	86	225	Rn	26534.141	7654.357	Bminus
138	87	225	Fr	23820.61	7662.94	Bminus
137	88	225	Ra	21993.109	7667.586	Bminus
136	89	225	Ac	21637.346	7665.69	alpha
135	90	225	Th	22310.127	7659.222	alpha
134	91	225	Pa	24340.725	7646.72	alpha
133	92	225	U 	27379.921	7629.736	alpha
132	93	225	Np	31587.704	7607.557	alpha
142	84	226	Po	37549	7614	Bminus
141	85	226	At	34614	7624	Bminus
140	86	226	Rn	28747.192	7646.41	Bminus
139	87	226	Fr	27520.539	7648.376	Bminus
138	88	226	Ra	23667.824	7661.962	alpha
137	89	226	Ac	24309.264	7655.662	Bminus
136	90	226	Th	23197.634	7657.119	alpha
135	91	226	Pa	26033.276	7641.11	alpha
134	92	226	U 	27328.869	7631.916	alpha
133	93	226	Np	32777	7604	alpha
143	84	227	Po	42281	7596	Bminus
142	85	227	At	37483	7613	Bminus
141	86	227	Rn	32885.834	7630.05	Bminus
140	87	227	Fr	29682.445	7640.715	Bminus
139	88	227	Ra	27177.711	7648.303	Bminus
138	89	227	Ac	25849.58	7650.707	Bminus
137	90	227	Th	25804.823	7647.458	alpha
136	91	227	Pa	26831.198	7639.49	alpha
135	92	227	U 	29045.462	7626.289	alpha
134	93	227	Np	32562.08	7607.351	alpha
133	94	227	Pu	36770	7585	Bplus
143	85	228	At	41684	7597	Bminus
142	86	228	Rn	35243.465	7621.645	Bminus
141	87	228	Fr	33384.221	7626.368	Bminus
140	88	228	Ra	28940.268	7642.428	Bminus
139	89	228	Ac	28894.728	7639.196	Bminus
138	90	228	Th	26770.984	7645.08	alpha
137	91	228	Pa	28923.586	7632.207	Bplus
136	92	228	U 	29222.226	7627.466	alpha
135	93	228	Np	33595.694	7604.853	Bplus
134	94	228	Pu	36087.37	7590.493	alpha
144	85	229	At	44823	7585	Bminus
143	86	229	Rn	39362.4	7605.622	Bminus
142	87	229	Fr	35668.262	7618.337	Bminus
141	88	229	Ra	32561.963	7628.485	Bminus
140	89	229	Ac	30689.933	7633.244	Bminus
139	90	229	Th	29585.583	7634.65	alpha
138	91	229	Pa	29896.908	7629.874	Bplus
137	92	229	U 	31210.554	7620.721	Bplus
136	93	229	Np	33779.675	7606.086	Bplus
135	94	229	Pu	37395.59	7586.88	alpha
134	95	229	Am	42150.02	7562.702	Bplus
144	86	230	Rn	42048	7596	Bminus
143	87	230	Fr	39486.768	7603.704	Bminus
142	88	230	Ra	34516.306	7621.914	Bminus
141	89	230	Ac	33838.383	7621.46	Bminus
140	90	230	Th	30862.593	7630.996	alpha
139	91	230	Pa	32173.607	7621.895	Bplus
138	92	230	U 	31615.002	7620.922	alpha
137	93	230	Np	35236.291	7601.776	Bplus
136	94	230	Pu	36934.392	7590.991	alpha
135	95	230	Am	42932	7562	Bplus
145	86	231	Rn	46454	7579	Bminus
144	87	231	Fr	42080.575	7594.5	Bminus
143	88	231	Ra	38216.486	7607.841	Bminus
142	89	231	Ac	35762.849	7615.076	Bminus
141	90	231	Th	33815.891	7620.118	Bminus
140	91	231	Pa	33424.404	7618.426	alpha
139	92	231	U 	33806.015	7613.387	Bplus
138	93	231	Np	35624.513	7602.128	Bplus
137	94	231	Pu	38309.005	7587.12	Bplus
136	95	231	Am	42410	7566	alpha
135	96	231	Cm	47270	7542	Bplus
145	87	232	Fr	46072.834	7579.347	Bminus
144	88	232	Ra	40496.953	7600.009	Bminus
143	89	232	Ac	39154.419	7602.424	Bminus
142	90	232	Th	35446.784	7615.033	Stable
141	91	232	Pa	35946.633	7609.506	Bminus
140	92	232	U 	34609.53	7611.897	alpha
139	93	232	Np	37360	7597	Bplus
138	94	232	Pu	38363.14	7588.974	Bplus
137	95	232	Am	43340	7564	alpha
136	96	232	Cm	46312	7548	Bplus
146	87	233	Fr	48920.051	7569.239	Bminus
145	88	233	Ra	44334.06	7585.564	Bminus
144	89	233	Ac	41308.033	7595.193	Bminus
143	90	233	Th	38731.715	7602.893	Bminus
142	91	233	Pa	37489.472	7604.866	Bminus
141	92	233	U 	36919.176	7603.956	alpha
140	93	233	Np	37948.59	7596.181	Bplus
139	94	233	Pu	40051.769	7583.796	Bplus
138	95	233	Am	43263	7567	alpha
137	96	233	Cm	47294.006	7545.998	Bplus
136	97	233	Bk	52861	7519	Bplus
146	88	234	Ra	46930.629	7576.543	Bminus
145	89	234	Ac	44841.19	7582.129	Bminus
144	90	234	Th	40613.009	7596.855	Bminus
143	91	234	Pa	40338.921	7594.683	Bminus
142	92	234	U 	38145.025	7600.715	alpha
141	93	234	Np	39954.871	7589.637	Bplus
140	94	234	Pu	40349.971	7584.605	Bplus
139	95	234	Am	44461	7564	Bplus
138	96	234	Cm	46724.633	7550.677	alpha
137	97	234	Bk	53455	7519	alpha
147	88	235	Ra	51130	7561	Bminus
